predict score,label
0.98803459,1
0.946619443,1
0.953162094,1
0.96425525,1
0.99669261,1
0.983757218,1
0.975069694,1
0.991458805,1
0.990061589,1
0.949784068,1
0.987663114,1
0.964648096,1
0.723789501,1
0.989629936,1
0.975706434,1
0.993069867,1
0.990468697,1
0.979397627,1
0.930393012,1
0.948563584,1
0.98910834,1
0.807574177,1
0.868041579,1
0.980046757,1
0.92506204,1
0.990276611,1
0.777555354,1
0.808694418,1
0.821014897,1
0.726263094,1
0.983235832,1
0.996020615,1
0.991189245,1
0.929516033,1
0.978150988,1
0.871207877,1
0.945231918,1
0.985472488,1
0.974379476,1
0.964008379,1
0.940749872,1
0.90843521,1
0.771169543,1
0.730816734,1
0.666593542,1
0.977339669,1
0.863345285,1
0.963722344,1
0.978524427,1
0.940790788,1
0.74351811,1
0.747139647,1
0.786046046,1
0.749191813,1
0.957648675,1
0.990269852,1
0.953969904,1
0.847081641,1
0.264313485,1
0.936553923,1
0.86393774,1
0.824512998,1
0.992131042,1
0.926359137,1
0.921488595,1
0.947152042,1
0.997748645,1
0.983878509,1
0.978065264,1
0.994766343,1
0.994611581,1
0.979902542,1
0.86964407,1
0.986110187,1
0.889562476,1
0.933990832,1
0.960766804,1
0.986843848,1
0.972539874,1
0.918291362,1
0.958694088,1
0.982189012,1
0.888733053,1
0.712085978,1
0.776949481,1
0.90936989,1
0.962400146,1
0.896427719,1
0.941065057,1
0.960456216,1
0.867699774,1
0.350608307,1
0.776800072,1
0.978414063,1
0.970163242,1
0.96562107,1
0.939405902,1
0.965605823,1
0.987229041,1
0.97674193,1
0.934220457,1
0.992864982,1
0.983473178,1
0.992804941,1
0.993228865,1
0.972500741,1
0.965119298,1
0.994913379,1
0.99487354,1
0.990985727,1
0.974538982,1
0.988504259,1
0.990255288,1
0.667546076,1
0.989846166,1
0.813568811,1
0.953399916,1
0.995440678,1
0.995229367,1
0.987977529,1
0.972008415,1
0.996929844,1
0.997119073,1
0.778700097,1
0.953202116,1
0.973333597,1
0.942540638,1
0.833531555,1
0.777942924,1
0.988526169,1
0.081097584,1
0.992588131,1
0.792069111,1
0.706303185,1
0.767177943,1
0.753354979,1
0.822942086,1
0.824524613,1
0.762117187,1
0.768751661,1
0.813597556,1
0.845918103,1
0.660113311,1
0.450761634,1
0.841833798,1
0.793072591,1
0.495378039,1
0.492336345,1
0.681811839,1
0.847584252,1
0.521146421,1
0.433613125,1
0.857386065,1
0.888340243,1
0.884107538,1
0.66114129,1
0.831622144,1
0.861285253,1
0.854521672,1
0.472896083,1
0.512571015,1
0.494093565,1
0.554344201,1
0.499680851,1
0.474944284,1
0.468534897,1
0.468314285,1
0.50982193,1
0.478064754,1
0.481245333,1
0.558422422,1
0.670762046,1
0.4449241,1
0.692554587,1
0.630813946,1
0.477077488,1
0.985020177,1
0.923339427,1
0.990576533,1
0.989193936,1
0.991961726,1
0.990790975,1
0.922963699,1
0.990245839,1
0.994959788,1
0.994709408,1
0.990683667,1
0.995298135,1
0.995213028,1
0.987080562,1
0.997662016,1
0.98283747,1
0.926702956,1
0.607405371,1
0.800712546,1
0.801477166,1
0.799312437,1
0.808317749,1
0.809848897,1
0.840859377,1
0.990673776,1
0.972388538,1
0.988471655,1
0.000115004,1
0.768757804,1
0.989810789,1
0.973161511,1
0.972855779,1
0.959615548,1
0.709741098,1
0.972532801,1
0.992775321,1
0.932979985,1
0.66268542,1
0.866023425,1
0.229541641,1
0.99601233,1
0.951106302,1
0.98016212,1
0.499287742,1
0.966397623,1
0.990330593,1
0.995481642,1
0.975816425,1
0.986705939,1
0.830907647,1
0.981619998,1
0.805550917,1
0.948005517,1
0.93476454,1
0.983956146,1
0.991366617,1
0.644259731,1
0.197843098,1
0.934553913,1
0.971801078,1
0.991082426,1
0.989261075,1
0.991248604,1
0.925356102,1
0.384854003,1
0.857708669,1
0.469344438,1
0.994794802,1
0.967449204,1
0.988907433,1
0.885269924,1
0.271018801,1
0.989651632,1
0.732236139,1
0.263040492,1
0.99191339,1
0.944925364,1
0.813667087,1
0.977499807,1
0.936780469,1
0.926096364,1
0.977844354,1
0.918371491,1
0.933447703,1
0.315809731,1
0.901027989,1
0.919412148,1
0.98707329,1
0.984722555,1
0.969728462,1
0.999006649,1
0.998993043,1
0.999282563,1
0.974846462,1
0.011987789,1
0.573402224,1
0.266483658,1
0.976293353,1
0.979828151,1
0.922623849,1
0.42131721,1
0.816970416,1
0.797757328,1
0.470060367,1
0.980200545,1
0.973713501,1
0.455454967,1
0.930558741,1
0.307068741,1
0.972885402,1
0.818412121,1
0.966044009,1
0.927637911,1
0.986641053,1
0.777261114,1
0.989989487,1
0.308676367,1
0.979062108,1
0.841679998,1
0.868308838,1
0.818327995,1
0.808441802,1
0.98960162,1
0.554163053,1
0.250434928,1
0.724655688,1
0.753185288,1
0.929450254,1
0.942381704,1
0.984542851,1
0.016632022,1
0.923674194,1
0.9430884,1
0.995268003,1
0.981405846,1
0.994041125,1
0.969111264,1
0.606744003,1
0.91123902,1
0.961612892,1
0.907226288,1
0.991341547,1
0.993966877,1
0.983858458,1
0.804721359,1
0.94934632,1
0.883371981,1
0.978958956,1
0.709863122,1
0.87873139,1
0.623066147,1
0.751270564,1
0.930105778,1
0.994767094,1
0.961098146,1
0.994093335,1
0.996233312,1
0.881687125,1
0.99131159,1
0.997081121,1
0.982488044,1
0.459899948,1
0.984632921,1
0.971036545,1
0.992748884,1
0.995558643,1
0.956235818,1
0.687483724,1
0.544692961,1
0.922086298,1
0.870693227,1
0.705217564,1
0.799915286,1
0.775522184,1
0.75609285,1
0.707249391,1
0.868549935,1
0.994338473,1
0.991487062,1
0.845968997,1
0.980332871,1
0.986528019,1
0.986748322,1
0.93615464,1
0.833900627,1
0.809942679,1
0.41402218,1
0.967187103,1
0.995463586,1
0.954517368,1
0.965528246,1
0.94371074,1
0.378997535,1
0.987935742,1
0.981898983,1
0.862170247,1
0.990748624,1
0.991433787,1
0.99477303,1
0.991290637,1
0.98508714,1
0.872849909,1
0.971707785,1
0.995023759,1
0.988421349,1
0.990791516,1
0.18232572,1
0.042786381,1
0.07223189,1
0.065812015,1
0.116981829,1
0.173004447,1
0.15501518,1
0.990564211,1
0.982622218,1
0.993667177,1
0.826839662,1
0.274154612,1
0.874604821,1
0.991466932,1
0.987073223,1
0.968096888,1
0.985860618,1
0.724229817,1
0.988798618,1
0.988805894,1
0.993903176,1
0.988179262,1
0.981971502,1
0.978202633,1
0.602866757,1
0.682133398,1
0.956579816,1
0.969491128,1
0.975970745,1
0.994662797,1
0.795765924,1
0.991827714,1
0.986751298,1
0.962132931,1
0.972925858,1
0.971830837,1
0.988294856,1
0.116511316,1
0.587658097,1
0.955297188,1
0.995260517,1
0.992530004,1
0.149558749,1
0.209819725,1
0.98774997,1
0.955318058,1
0.985588737,1
0.968995567,1
0.942366425,1
0.9588486,1
0.991166548,1
0.985319996,1
0.979202382,1
0.967812308,1
0.981973803,1
0.811129097,1
0.950627426,1
0.874755649,1
0.972109187,1
0.936364186,1
0.782104957,1
0.996345866,1
0.918044055,1
0.665112809,1
0.991607233,1
0.952067069,1
0.964394021,1
0.888559655,1
0.303470035,1
0.990242807,1
0.997622188,1
0.990577785,1
0.992264485,1
0.967764417,1
0.957919653,1
0.96724263,1
0.681430447,1
0.984678884,1
0.982770145,1
0.811679335,1
0.965207418,1
0.859897272,1
0.990174131,1
0.900324035,1
0.978877596,1
0.733234239,1
0.991826967,1
0.994663044,1
0.991490372,1
0.995706507,1
0.956870608,1
0.983319223,1
0.740526676,1
0.972275603,1
0.989017749,1
0.95524015,1
0.852402405,1
0.93300124,1
0.990334427,1
0.839283156,1
0.993859684,1
0.951388943,1
0.961055911,1
0.901268808,1
0.985601421,1
0.926118755,1
0.963335693,1
0.321379007,1
0.987516896,1
0.914217269,1
0.991172632,1
0.950659585,1
0.983721717,1
0.842526456,1
0.994447835,1
0.980905592,1
0.981421145,1
0.993440886,1
0.993385537,1
0.956351916,1
0.99786644,1
0.997665699,1
0.99772567,1
0.891970781,1
0.328260998,1
0.972076297,1
0.75645775,1
0.817886837,1
0.96544139,1
0.986751298,1
0.933864872,1
0.987509914,1
0.903596902,1
0.956674039,1
0.98725065,1
0.888495207,1
0.983632894,1
0.986988004,1
