predict score,label
0.98803459,1
0.055691465,0
0.946619443,1
0.680004499,0
0.953162094,1
0.174173609,0
0.96425525,1
9.60E-06,0
0.99669261,1
0.782384318,0
0.983757218,1
0.255792156,0
0.975069694,1
0.015222109,0
0.991458805,1
2.87E-09,0
0.990061589,1
0.907810541,0
0.949784068,1
0.139455565,0
0.987663114,1
0.00023864,0
0.964648096,1
8.21E-06,0
0.723789501,1
0.100209894,0
0.989629936,1
0.147196433,0
0.975706434,1
0.013191419,0
0.993069867,1
0.027291539,0
0.990468697,1
0.082710478,0
0.979397627,1
0.003915966,0
0.930393012,1
0.000822218,0
0.948563584,1
0.01360838,0
0.98910834,1
0.000412697,0
0.807574177,1
0.216585566,0
0.868041579,1
1.17E-05,0
0.980046757,1
0.012886552,0
0.92506204,1
0.008562005,0
0.990276611,1
0.000141777,0
0.777555354,1
0.241288681,0
0.808694418,1
0.000567898,0
0.821014897,1
0.005344507,0
0.726263094,1
0.006816343,0
0.983235832,1
0.009686343,0
0.996020615,1
0.113116449,0
0.991189245,1
0.247290522,0
0.929516033,1
0.787671181,0
0.978150988,1
0.06056811,0
0.871207877,1
0.000857018,0
0.945231918,1
0.016856901,0
0.985472488,1
0.126662562,0
0.974379476,1
0.051024628,0
0.964008379,1
0.004172205,0
0.940749872,1
0.079048353,0
0.90843521,1
0.018641983,0
0.771169543,1
0.006955345,0
0.730816734,1
0.000571829,0
0.977339669,1
0.083726118,0
0.863345285,1
0.041901359,0
0.963722344,1
0.527076446,0
0.978524427,1
0.05789379,0
0.940790788,1
0.000308086,0
0.786046046,1
0.206948605,0
0.749191813,1
0.002618769,0
0.957648675,1
0.000959224,0
0.990269852,1
0.005195138,0
0.953969904,1
0.012993279,0
0.847081641,1
6.89E-07,0
0.264313485,1
0.000160646,0
0.936553923,1
0.015568769,0
0.86393774,1
0.002447124,0
0.824512998,1
0.013678667,0
0.992131042,1
0.008003551,0
0.947152042,1
0.000195057,0
0.997748645,1
0.035409321,0
0.983878509,1
0.041676515,0
0.978065264,1
0.065721946,0
0.994766343,1
0.070342396,0
0.994611581,1
0.027554837,0
0.979902542,1
0.009957155,0
0.86964407,1
1.96E-07,0
0.986110187,1
0.755802635,0
0.960766804,1
0.003363397,0
0.986843848,1
0.528167642,0
0.972539874,1
1.24E-05,0
0.918291362,1
1.90E-05,0
0.958694088,1
0.082897954,0
0.982189012,1
0.00463728,0
0.888733053,1
0.563233878,0
0.712085978,1
0.044433779,0
0.776949481,1
0.077405947,0
0.90936989,1
7.78E-05,0
0.944508783,1
0.037132533,0
0.896427719,1
0.00263724,0
0.941065057,1
0.549400393,0
0.960456216,1
0.154735993,0
0.867699774,1
0.006200342,0
0.350608307,1
0.009570873,0
0.776800072,1
